Family,group
Eriocraniidae,0
Hepialidae,1
Nepticulidae,0
Adelidae,0
Prodoxidae,0
Psychidae,0
Tineidae,0
Roeslerstammiidae,0
Plutellidae,0
Yponomeutidae,0
Bucculatricidae,0
Gracillariidae,0
Choreutidae,0
Tortricidae,0
Sesiidae,0
Lacturidae,0
Zygaenidae,0
Limacodidae,1
Megalopygidae,1
Cossidae,1
Papilionidae,1
Hesperiidae,0
Pieridae,1
Riodinidae,1
Lycaenidae,1
Nymphalidae,1
Depressariidae,0
Autostichidae,0
Cosmopterigidae,0
Gelechiidae,0
Alucitidae,0
Pterophoridae,0
Thyrididae,1
Pyralidae,0
Crambidae,0
Mimallonidae,1
Drepanidae,1
Notodontidae,1
Erebidae,1
Nolidae,1
Euteliidae,1
Noctuidae,1
Sematuridae,1
Uraniidae,1
Geometridae,1
Lasiocampidae,1
Bombycidae,1
Brahmaeidae,1
Eupterotidae,1
Endromidae,1
Saturniidae,1
Sphingidae,1
