Family,Rate
Hydroptilidae,2.802272528
Phryganeidae,2.729459023
Helicopsychidae,2.773032235
Leptoceridae,2.823906026
Hydropsychidae,2.816471092
Stenopsychidae,2.719202718
Philopotamidae,2.786772063
Polycentropodidae,2.793399415
Psychomyiidae,2.772250855
Micropterigidae,2.440450524
Agathiphagidae,-0.63276604
Heterobathmiidae,1.797575218
Eriocraniidae,2.329403849
Acanthopteroctetidae,2.199374021
Neopseustidae,2.384712399
Lophocoronidae,2.090508377
Hepialidae,2.58158434
Opostegidae,2.625554956
Nepticulidae,2.681620386
Andesianidae,2.244429318
Adelidae,2.642721472
Prodoxidae,2.638124652
Palaephatidae,2.641194575
Tischeriidae,2.637829566
Meessiidae,2.947760202
Psychidae,4.571107928
Dryadaulidae,4.06860447
Tineidae,5.080584029
Roeslerstammiidae,5.925014587
Plutellidae,6.201765197
Yponomeutidae,6.23329051
Bucculatricidae,6.239623413
Lyonetiidae,6.194617736
Gracillariidae,6.250680346
Urodidae,5.990542521
Choreutidae,6.205883772
Immidae,6.207148743
Tortricidae,6.427597558
Sesiidae,6.444076147
Lacturidae,6.374907586
Zygaenidae,6.466123651
Dalceridae,6.372418925
Limacodidae,6.47748531
Megalopygidae,6.432300806
Cossidae,6.433892143
Castniidae,6.321929038
Papilionidae,6.423730084
Hedylidae,6.278344807
Hesperiidae,6.497122865
Pieridae,6.461122443
Riodinidae,6.431019807
Lycaenidae,6.521762493
Nymphalidae,6.490545298
Depressariidae,6.450719359
Autostichidae,6.437956881
Cosmopterigidae,6.462718904
Gelechiidae,6.522870048
Alucitidae,6.439726705
Pterophoridae,6.465204196
Callidulidae,6.300518751
Thyrididae,6.456445637
Pyralidae,6.469031338
Crambidae,6.48426504
Mimallonidae,6.368624035
Cimeliidae,5.702564339
Doidae,5.781639883
Drepanidae,6.437049446
Notodontidae,6.605228765
Erebidae,6.612093441
Nolidae,6.609023476
Euteliidae,6.592391222
Noctuidae,6.585820893
Epicopeiidae,6.326209455
Sematuridae,6.375156476
Uraniidae,6.451514821
Geometridae,6.465745869
Lasiocampidae,6.462045415
Bombycidae,6.448498008
Brahmaeidae,6.426406056
Eupterotidae,6.452737186
Endromidae,6.415204982
Saturniidae,6.511298799
Sphingidae,6.517483788
