generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydroptilidae,Micropterigidae,0,0.032,0,0.005,0
100000,Hydroptilidae,Micropterigidae,0,1.98695,0.370194,0.609392,0
100000,Roeslerstammiidae,Urodidae,1.72071,10.0418,-0.252813,0.959996,0
200000,Hydroptilidae,Micropterigidae,0,2.50322,0.05856,0.120247,0
200000,Micropterigidae,NA,2.50944,21.0861,0.115364,18.0288,0
200000,Roeslerstammiidae,Urodidae,1.75732,11.9202,-0.480789,0.061273,0
300000,Hydroptilidae,Micropterigidae,0,2.06284,0.502922,0.514811,0
300000,Roeslerstammiidae,Urodidae,1.78573,7.45304,-0.00924438,0.266726,0
400000,Hydroptilidae,Micropterigidae,0,2.48991,0.192784,0.259988,0
400000,Tischeriidae,NA,2.29415,6.55655,-0.306895,3.04297,0
400000,Immidae,Sesiidae,1.92398,12.4948,-0.589885,1.41449,0
500000,Hydroptilidae,Micropterigidae,0,2.08502,0.0926568,0.0970941,0
500000,Dryadaulidae,NA,2.77909,1.74854,-0.256648,18.9322,0
500000,Meessiidae,Psychidae,1.4269,7.54524,0.0128642,0.402089,0
600000,Hydroptilidae,Micropterigidae,0,1.38253,0.468362,0.164686,0
600000,Meessiidae,NA,1.67077,15.4047,-1.01239,5.89954,0
600000,Psychidae,NA,2.72315,5.55468,0.899216,14.0498,0
600000,Meessiidae,Psychidae,1.32566,12.9313,-0.456415,0.013629,0
700000,Hydroptilidae,Micropterigidae,0,1.51932,0.558478,0.0529796,0
700000,Epicopeiidae,NA,2.70204,26.1677,-0.589622,34.627,0
700000,Psychidae,Dryadaulidae,1.6059,9.98533,-0.275352,0.168641,0
800000,Hydroptilidae,Micropterigidae,0,1.88869,0.188252,0.059558,0
800000,Agathiphagidae,NA,2.75962,19.4531,0.383686,28.3974,0
800000,Lophocoronidae,NA,2.74442,1.58646,-0.258782,12.8898,0
800000,Roeslerstammiidae,Urodidae,1.77351,9.03067,-0.302972,0.154384,0
900000,Hydroptilidae,Micropterigidae,0,2.34716,0.248981,0.0849466,0
900000,Yponomeutidae,NA,2.94073,16.4398,0.0790787,30.1784,0
900000,Dryadaulidae,NA,2.93423,15.9805,-1.04603,38.6376,0
900000,Psychidae,Dryadaulidae,1.573,7.21136,0.0182346,0.0488187,0
1000000,Hydroptilidae,Micropterigidae,0,2.6298,0.138485,0.027563,0
1000000,Heterobathmiidae,NA,2.2451,1.34875,-0.168905,5.39014,0
1000000,Immidae,Sesiidae,1.92266,10.6678,-0.335696,0.484165,0
1100000,Hydroptilidae,Micropterigidae,0,3.08556,-0.00860358,0.0730108,0
1100000,Mimallonidae,NA,3.05369,20.543,0.142093,30.785,0
1100000,Roeslerstammiidae,Urodidae,1.69982,7.90815,-0.0653002,0.303153,0
1200000,Hydroptilidae,Micropterigidae,0,1.5805,0.465278,0.199387,0
1200000,Heterobathmiidae,NA,1.79167,20.9806,-0.450052,17.7479,0
1200000,Psychidae,Dryadaulidae,1.56743,8.16978,-0.136941,0.180104,0
1300000,Hydroptilidae,Micropterigidae,0,2.03055,0.294247,0.226796,0
1300000,Micropterigidae,NA,2.60053,38.6999,-0.378051,36.214,0
1300000,Acanthopteroctetidae,NA,2.97921,6.66497,0.00987676,41.972,0
1300000,Roeslerstammiidae,Urodidae,1.72069,14.3427,-0.676199,1.138,0
1400000,Hydroptilidae,Micropterigidae,0,3.16755,-0.0497387,0.486675,0
1400000,Stenopsychidae,NA,2.48942,6.73116,0.380897,1.44177,0
1400000,Psychidae,Dryadaulidae,1.57925,7.45114,-0.0685546,0.22869,0
1500000,Hydroptilidae,Micropterigidae,0,4.93753,-0.27355,0.399947,0
1500000,Limacodidae,NA,3.04163,17.6956,0.416648,0.96196,0
1500000,Palaephatidae,NA,2.57929,6.57149,0.612832,5.35117,0
1500000,Immidae,Sesiidae,1.89576,9.97333,-0.304304,0.457588,0
1500000,Andesianidae,Palaephatidae,1.14471,5.69912,0.401443,4.53364,0
1600000,Hydroptilidae,Micropterigidae,0,2.73882,0.00974672,0.0551789,0
1600000,Roeslerstammiidae,Urodidae,1.71455,8.16742,-0.0622893,0.204762,0
1700000,Hydroptilidae,Micropterigidae,0,2.01727,0.117824,0.12761,0
1700000,Roeslerstammiidae,Urodidae,1.7748,12.3286,-0.48401,0.230441,0
1800000,Hydroptilidae,Micropterigidae,0,2.91051,-0.00257078,0.169867,0
1800000,Hedylidae,NA,2.70729,13.684,0.379437,15.9076,0
1800000,Roeslerstammiidae,Urodidae,1.74104,10.9217,-0.435034,0.222316,0
1900000,Hydroptilidae,Micropterigidae,0,2.45832,0.19123,0.136527,0
1900000,Agathiphagidae,NA,2.31409,6.70234,-0.372885,13.7065,0
1900000,Neopseustidae,NA,3.06476,12.6658,0.27142,29.3915,0
1900000,Lophocoronidae,NA,1.99307,18.8762,-0.22274,18.7981,0
1900000,Limacodidae,NA,3.04514,5.6199,0.133025,36.581,0
1900000,Immidae,Sesiidae,1.92284,11.0991,-0.362549,0.220599,0
2000000,Hydroptilidae,Micropterigidae,0,2.9361,0.0321525,0.087086,0
2000000,Psychidae,Dryadaulidae,1.57768,9.14458,-0.215986,0.10661,0
2100000,Hydroptilidae,Micropterigidae,0,2.73437,0.0471569,0.236829,0
2100000,Urodidae,NA,2.06143,6.07021,-0.137151,2.39189,0
2100000,Psychidae,Dryadaulidae,1.5822,6.43706,0.110247,0.0277782,0
2200000,Hydroptilidae,Micropterigidae,0,2.62935,0.0449141,0.187181,0
2200000,Acanthopteroctetidae,NA,2.69288,9.23118,-0.296061,20.6518,0
2200000,Callidulidae,NA,2.69019,3.02751,0.236945,17.1393,0
2200000,Sesiidae,Papilionidae,1.96496,11.297,-0.557307,0.00412991,0
2200000,Psychidae,Dryadaulidae,1.61022,7.54386,-0.115688,1.36095,0
2300000,Hydroptilidae,Micropterigidae,0,3.2246,-0.0382964,0.652148,0
2300000,Acanthopteroctetidae,NA,2.74235,0.441303,-0.0605347,14.4279,0
2300000,Roeslerstammiidae,Urodidae,1.71554,6.73069,0.1849,0.0440489,0
2400000,Hydroptilidae,Micropterigidae,0,2.96102,-0.0873781,0.202814,0
2400000,Roeslerstammiidae,Urodidae,1.79623,9.2426,-0.272629,0.0249234,0
2500000,Hydroptilidae,Micropterigidae,0,3.49373,-0.113762,0.880157,0
2500000,Doidae,NA,2.52758,10.142,-0.151109,12.1586,0
2500000,Roeslerstammiidae,NA,2.96553,5.15519,0.21398,7.45698,0
2500000,Meessiidae,Psychidae,1.47401,7.99016,0.0453059,1.2492,0
2600000,Hydroptilidae,Micropterigidae,0,1.89189,0.31352,0.0598718,0
2600000,Roeslerstammiidae,Urodidae,1.70816,13.5909,-0.63058,0.0934561,0
2700000,Hydroptilidae,Micropterigidae,0,4.06969,-0.480931,0.0473738,0
2700000,Hydroptilidae,Hydropsychidae,0.459103,3.81354,0.445563,2.72315,0
2700000,Doidae,NA,2.59933,3.00959,0.318945,6.28523,0
2700000,Meessiidae,Psychidae,1.48345,7.13143,0.0463997,0.151877,0
