generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.68508,-753.726,1,0
100000,1,-17.2591,-102.618,2.43713,0.531462
200000,2,-24.8324,-99.509,0.983271,0.49
300000,1,-16.0289,-101.224,1.19988,0.4995
400000,2,-24.4987,-104.871,1.3119,0.504769
500000,2,-22.8907,-100.635,0.903604,0.534
600000,3,-40.1135,-99.7234,2.29383,0.557
700000,2,-27.5692,-102.046,0.95788,0.55
800000,3,-33.3625,-94.2375,1.42532,0.57325
900000,3,-38.5249,-100.211,1.61964,0.5505
1000000,2,-21.8662,-97.0383,0.12906,0.547
1100000,2,-24.3271,-100.497,0.789487,0.55425
1200000,2,-26.3089,-99.4429,2.04478,0.543
1300000,3,-37.6677,-97.8614,0.816796,0.5005
1400000,2,-23.5854,-103.432,1.93394,0.546286
1500000,4,-40.9269,-102.926,1.30514,0.519333
1600000,1,-14.8799,-99.1953,0.893916,0.498
1700000,1,-15.8191,-102.102,0.768389,0.506
1800000,2,-24.4272,-96.6314,0.810276,0.556
1900000,5,-54.3596,-94.1168,4.18438,0.54325
2000000,1,-15.3322,-101.946,1.12988,0.504
2100000,2,-22.9958,-98.7992,1.85715,0.489333
2200000,4,-41.6239,-88.205,2.56583,0.489
2300000,2,-23.2901,-101.964,1.71604,0.5152
2400000,1,-14.8831,-99.681,0.549756,0.481
2500000,3,-31.476,-106.95,1.81279,0.51275
2600000,1,-16.3195,-98.2584,0.332612,0.5
2700000,3,-32.6693,-92.853,2.55229,0.521
2800000,3,-36.7289,-98.7229,3.08214,0.599
2900000,5,-54.3343,-95.0373,5.06749,0.531
3000000,1,-19.1462,-103.717,3.35297,0.565
3100000,1,-15.1117,-100.088,0.0973192,0.518
3200000,2,-24.2192,-99.0298,1.88865,0.5415
3300000,1,-16.4605,-101.309,0.447312,0.546
3400000,5,-56.9439,-89.2982,4.86373,0.550333
3500000,2,-26.3654,-101.963,2.34252,0.513
3600000,2,-24.8219,-97.1242,3.07476,0.52
3700000,5,-50.7122,-92.5148,4.23026,0.532833
3800000,3,-38.0727,-95.5119,5.10521,0.561167
3900000,4,-47.066,-97.7488,2.50749,0.541
4000000,2,-22.7544,-98.7871,1.31222,0.489
4100000,2,-22.8057,-102.101,0.423342,0.482
4200000,3,-34.2316,-95.7423,3.40541,0.5815
4300000,3,-31.9941,-95.9924,1.18531,0.432
4400000,1,-16.6982,-101.117,1.27756,0.507
4500000,2,-26.8827,-96.6499,2.15194,0.550444
4600000,2,-23.6754,-103.017,1.93656,0.548143
4700000,7,-67.153,-104.178,2.66292,0.568
4800000,1,-16.6189,-100.587,1.95452,0.5405
4900000,1,-14.6051,-101.027,0.409755,0.493
5000000,2,-25.3082,-99.4446,0.508327,0.4655
5100000,3,-30.0698,-89.9933,1.26216,0.554333
5200000,1,-15.2699,-99.9905,1.22903,0.492
5300000,1,-15.7562,-98.0971,0.986541,0.471
5400000,1,-15.3692,-98.9424,0.582297,0.5435
5500000,1,-15.6312,-101.356,0.225882,0.489667
5600000,4,-44.8591,-95.7767,3.7831,0.576
5700000,3,-30.6003,-87.2712,1.72351,0.562
5800000,1,-15.0682,-101.403,0.539897,0.479
5900000,7,-76.1062,-85.3268,6.49133,0.517
6000000,1,-14.5666,-97.7171,0.0447289,0.509
6100000,2,-25.5739,-100.641,1.52069,0.512
6200000,1,-15.153,-102.217,0.157777,0.5125
6300000,2,-21.5984,-99.5405,0.213142,0.546
6400000,2,-24.6326,-98.8621,0.214399,0.522
6500000,2,-25.4054,-103.326,1.91466,0.541222
6600000,3,-33.8982,-89.7177,0.940324,0.477
6700000,1,-14.6345,-99.7882,0.0878579,0.556
6800000,3,-34.1365,-88.5178,2.01042,0.475
6900000,4,-41.7008,-92.5608,2.80298,0.5245
7000000,6,-56.8479,-99.756,3.10362,0.48
7100000,1,-14.5263,-101.94,0.367228,0.53225
7200000,1,-14.6463,-101.348,0.712502,0.478
7300000,3,-36.8351,-88.2285,2.43005,0.4992
7400000,2,-24.2713,-95.4189,1.80424,0.58
7500000,5,-50.2616,-88.6843,3.37622,0.52975
7600000,1,-16.036,-100.886,0.978853,0.5849
7700000,3,-35.5674,-107.303,3.17855,0.4765
7800000,4,-42.9092,-82.2177,3.01844,0.4875
7900000,1,-16.2542,-100.324,1.9008,0.518
8000000,2,-22.8286,-98.645,0.378712,0.537
8100000,1,-15.298,-103.959,1.1782,0.538444
8200000,1,-14.7562,-103.159,0.295388,0.479
8300000,4,-47.2285,-75.6207,3.1715,0.509333
8400000,5,-56.375,-96.3228,6.54825,0.541
8500000,4,-43.1396,-96.1781,1.11571,0.519
8600000,2,-26.5542,-98.7049,1.29133,0.504
8700000,1,-16.239,-102.594,1.22754,0.5165
8800000,5,-62.8406,-91.4278,4.42601,0.622
8900000,3,-32.4366,-95.7238,1.04131,0.531
9000000,1,-16.617,-101.917,2.16274,0.49388
9100000,1,-14.7271,-102.875,0.323227,0.517
9200000,2,-23.7166,-96.4383,0.913369,0.505
9300000,2,-24.5025,-108.861,0.337573,0.563
9400000,1,-14.8829,-98.3162,0.393246,0.5052
9500000,1,-15.1052,-97.5245,0.356014,0.519
9600000,2,-22.892,-103.18,0.201234,0.5104
9700000,1,-15.3266,-100.312,0.712084,0.505667
9800000,1,-16.6218,-103.597,2.51896,0.5455
9900000,3,-32.1581,-93.813,1.58629,0.373
10000000,5,-50.231,-93.3761,1.8587,0.54
10100000,2,-25.5657,-97.2696,0.660753,0.555795
10200000,1,-15.3801,-100.352,0.889988,0.538
10300000,1,-16.4193,-100.705,2.38874,0.5354
10400000,1,-14.6471,-98.1466,0.250985,0.484
10500000,1,-14.4345,-103.879,0.373727,0.452
10600000,4,-44.3366,-84.6525,1.41121,0.5364
10700000,1,-14.553,-101.022,0.408859,0.488
10800000,1,-14.8464,-100.347,0.678874,0.512
10900000,3,-31.265,-96.6319,1.89787,0.548
11000000,2,-25.4419,-101.105,2.99165,0.54
11100000,1,-15.7251,-101.48,1.27837,0.5245
11200000,4,-39.2893,-99.2969,1.73845,0.5675
11300000,4,-41.5028,-86.044,4.19231,0.543
11400000,2,-23.979,-101.769,1.54326,0.58
11500000,1,-15.8056,-99.3862,0.511977,0.523
11600000,1,-14.347,-99.8003,0.103766,0.518
11700000,4,-40.4818,-82.5478,2.67512,0.469333
11800000,1,-14.9582,-98.9116,0.430603,0.484
11900000,1,-14.7214,-99.9765,0.546533,0.5075
12000000,3,-34.2905,-94.8288,1.21221,0.559
12100000,1,-18.1484,-100.71,4.02917,0.502
12200000,1,-15.4728,-99.2768,1.12963,0.465
12300000,1,-14.9804,-103.731,0.929507,0.486
12400000,2,-22.9655,-97.1669,0.393496,0.516
12500000,1,-15.4265,-105.852,0.360649,0.505
12600000,3,-33.723,-97.5928,2.45907,0.54936
