Family,3groups,4groups,5groups,6groups,7groups,8groups,9groups,10groups
Autostichidae,0,0,0,0,0,0,0,0
Batrachedridae,0,0,0,0,0,0,0,0
Bucculatricidae,0,0,0,0,0,0,0,0
Cosmopterigidae,0,0,0,0,0,0,0,0
Elachistidae,0,0,0,0,0,0,0,0
Eriocraniidae,0,0,0,0,0,0,0,0
Lacturidae,0,0,0,0,0,0,0,0
Prodoxidae,0,0,0,0,0,0,0,0
Xyloryctidae,0,0,0,0,0,0,0,0
Yponomeutidae,0,0,0,0,0,0,0,0
Coleophoridae,0,0,0,0,0,0,1,1
Gracillariidae,0,0,0,0,0,0,1,1
Momphidae,0,0,0,0,0,0,1,1
Nepticulidae,0,0,0,0,0,0,1,1
Scythrididae,0,0,0,0,0,0,1,1
Gelechiidae,0,0,0,1,1,1,2,1
Glyphipterigidae,0,0,0,1,1,1,2,1
Tineidae,0,0,0,1,1,1,2,1
Carposinidae,0,0,0,1,1,1,2,2
Depressariidae,0,0,0,1,1,1,2,2
Ethmiidae,0,0,0,1,1,1,2,2
Oecophoridae,0,0,0,1,1,1,2,2
Plutellidae,0,0,0,1,1,1,2,2
Pterophoridae,0,0,0,1,1,1,2,2
Ypsolophidae,0,0,0,1,1,1,2,2
Adelidae,0,0,0,1,1,1,2,3
Alucitidae,0,0,0,1,1,1,2,3
Ashinagidae,0,0,0,1,1,1,2,3
Lecithoceridae,0,0,0,1,1,1,2,3
Roeslerstammiidae,0,0,0,1,1,1,2,3
Sesiidae,0,0,0,1,1,1,2,3
Stathmopodidae,0,0,0,1,1,1,2,3
Tortricidae,0,0,0,1,1,1,2,3
Crambidae,0,0,0,1,1,1,3,4
Pyralidae,0,0,0,1,1,1,3,4
Cossidae,0,1,1,2,2,2,3,4
Erebidae,0,1,1,2,2,2,3,4
Euteliidae,0,1,1,2,2,2,3,4
Hepialidae,0,1,1,2,2,2,3,4
Metarbelidae,0,1,1,2,2,2,3,4
Noctuidae,0,1,1,2,2,2,3,4
Nolidae,0,1,1,2,2,2,3,4
Notodontidae,0,1,1,2,2,2,3,4
Sphingidae,0,1,1,2,2,2,3,4
Choreutidae,0,1,2,3,3,3,4,5
Hesperiidae,0,1,2,3,3,3,4,5
Hyblaeidae,0,1,2,3,3,3,4,5
Psychidae,0,1,2,3,3,3,4,5
Zygaenidae,0,1,2,3,3,3,4,5
Bombycidae,1,2,3,4,4,4,5,6
Drepanidae,1,2,3,4,4,4,5,6
Endromidae,1,2,3,4,4,4,5,6
Geometridae,1,2,3,4,4,4,5,6
Lasiocampidae,1,2,3,4,4,4,5,6
Limacodidae,1,2,3,4,4,4,5,6
Megalopygidae,1,2,3,4,4,4,5,6
Mimallonidae,1,2,3,4,4,4,5,6
Saturniidae,1,2,3,4,4,4,5,6
Sematuridae,1,2,3,4,4,4,5,6
Thyrididae,1,2,3,4,4,4,5,6
Uraniidae,1,2,3,4,4,4,5,6
Brahmaeidae,1,2,3,4,5,5,6,7
Eupterotidae,1,2,3,4,5,5,6,7
Pieridae,1,2,3,4,5,6,7,8
Nymphalidae,2,3,4,5,5,6,7,8
Lycaenidae,2,3,4,5,6,7,8,9
Papilionidae,2,3,4,5,6,7,8,9
Riodinidae,2,3,4,5,6,7,8,9
