sn,family,Goldstein2017,sp_count_on_gbif,out_group,no_sp_id,family_sp_count_with_photo,6groups,10groups,fam_mean_PC1,fam_mean_PC2,fam_mean_PC3
1,Hydroptilidae,,2088,1,0,,,,,,
2,Phryganeidae,,130,1,0,,,,,,
3,Helicopsychidae,,269,1,0,,,,,,
4,Leptoceridae,,1826,1,0,,,,,,
5,Hydropsychidae,,1683,1,0,,,,,,
6,Stenopsychidae,,109,1,0,,,,,,
7,Philopotamidae,,1171,1,0,,,,,,
8,Polycentropodidae,,934,1,0,,,,,,
9,Psychomyiidae,,489,1,0,,,,,,
10,Micropterigidae,265,195,0,0,,,,,,
11,Agathiphagidae,2,3,0,0,,,,,,
12,Heterobathmiidae,10,4,0,0,,,,,,
13,Eriocraniidae,30,34,0,0,5,0,0,-1.71435313594527,0.78372316292874,0.515384567138348
14,Acanthopteroctetidae,5,7,0,0,,,,,,
15,Neopseustidae,14,15,0,0,,,,,,
16,Lophocoronidae,6,10,0,0,,,,,,
17,Hepialidae,652,692,0,0,25,2,4,0.849194755587663,-0.778373869866728,0.085900703349909
18,Opostegidae,194,200,0,0,,,,,,
19,Nepticulidae,852,1054,0,0,5,0,1,-1.53033588871852,0.401752490167211,0.968383373214727
20,Andesianidae,3,1,0,1,,,,,,
21,Adelidae,294,407,0,0,22,1,3,-0.706935108867595,-0.396245637422852,0.311438634194478
22,Prodoxidae,97,105,0,0,10,0,0,-1.40922356824829,0.405129383311399,-0.369808580100208
23,Palaephatidae,57,15,0,0,,,,,,
24,Tischeriidae,112,187,0,0,,,,,,
25,Meessiidae,248,6,0,0,,,,,,
26,Psychidae,1246,1424,0,0,10,3,5,1.01490595024803,-0.394971712533503,-0.638311158215387
27,Dryadaulidae,35,1,0,0,,,,,,
28,Tineidae,2110,2651,0,0,79,1,1,-1.37446647760586,-0.037492824774057,-0.073806594910419
29,Roeslerstammiidae,53,52,0,0,3,1,3,-0.586654678845377,-1.61351929248242,0.891993021130488
30,Plutellidae,150,344,0,0,3,1,2,-0.846019590079819,-0.609641661692165,0.098949384833687
31,Yponomeutidae,362,526,0,0,25,0,0,-1.44118756957437,0.133572189343227,0.125166100417862
32,Bucculatricidae,297,271,0,0,3,0,0,-1.56634792104021,0.128323057670757,0.344890799954555
33,Lyonetiidae,204,213,0,0,,,,,,
34,Gracillariidae,1855,2038,0,0,61,0,1,-1.64767276761715,0.31736327739239,0.611906457895179
35,Urodidae,66,70,0,0,,,,,,
