wing	axis	character	lm_alpha	lm_beta	p	sig	r2	adj_r2	F
FW	pc1	color_saturation	89.00827847328868	10.652992002708984	3.8127402750369663e-08	***	0.5088691465279089	0.497447498772744	44.55304150820063
HW	pc1	color_saturation	76.59437790687232	11.527133316392236	3.5301644766655654e-06	***	0.5836606503325561	0.5670070763458583	35.047170703343475
FW	pc1	color_brightness	130.44343032510287	-5.212749955332509	0.0008802835323547866	***	0.2291341930856955	0.21120708129699073	12.781433829740768
HW	pc1	color_brightness	132.22458034200852	-4.7636178218469345	0.039524156776759495	*	0.15877896072193765	0.12513011915081515	4.71870511162566
FW	pc1	color_richness	14.377777777777778	1.2499999999999998	0.000513380675699623	***	0.24709586099180003	0.229586462410214	14.112184370036632
HW	pc1	color_richness	14.74074074074074	1.4166666666666667	0.0014077123712529654	**	0.34016798418972327	0.3137747035573122	12.888431299138897
FW	pc1	color_evenness	0.7029524678325575	-0.025822526255514844	2.3422743755815166e-05	***	0.34341595133195435	0.3281465548513021	22.49047313474995
HW	pc1	color_evenness	0.7116688252989005	-0.006442549743369173	0.24694551248935456		0.053228867370090915	0.015358022064894554	1.4055368170719769
FW	pc1	rgb_red	152.3706689592691	-2.794371610879325	0.1397363363698081		0.050014188040803154	0.027921494739426483	2.263833900128723
HW	pc1	rgb_red	150.39483936904003	-1.599770823885567	0.5376919323730434		0.015380303773179005	-0.024004484075893832	0.3905138154385482
FW	pc1	rgb_green	125.37687319030536	-5.864297324837886	0.00011089974806781066	***	0.2963106233858941	0.2799457541623102	18.10650725878535
HW	pc1	rgb_green	128.03103318268992	-5.712389423960717	0.013820396769637842	*	0.21903908748380718	0.18780065098315946	7.011845406515958
FW	pc1	rgb_blue	98.99385483305254	-8.20603553504382	1.0252445998615297e-07	***	0.48624499672145405	0.4742972059475344	40.69748172882788
HW	pc1	rgb_blue	106.14783138929471	-8.16947809294694	0.00036190532466010234	***	0.40464110570981726	0.38082674993821	16.99147814832978
FW	pc1	distinctive_from_wing_base	0.15123648045957422	0.002650211334122368	0.37820970091124484		0.018103432020406984	-0.004731371886095178	0.7927999773736653
HW	pc1	distinctive_from_wing_base	0.1630629989127007	-0.0008749357652648296	0.8146734715495836		0.002239623721734585	-0.03767079132939603	0.05611627237815868
FW	pc1	perimeter_over_area	0.09149702829948188	-0.014384164999479457	2.7584402044318884e-08	***	0.5160622906148274	0.5048079252802885	45.85441073527861
HW	pc1	perimeter_over_area	0.08737523062036277	-0.010860568466901518	0.0014519611571850916	**	0.33863191508413626	0.3121771916875017	12.80043302691328
FW	pc1	box_aspect_ratio	2.411066443450742	-0.5385695388138589	2.684341864504881e-10	***	0.6084766284726464	0.5993714337859637	66.82741549311537
HW	pc1	box_aspect_ratio	1.9224992424127725	-0.3128587781529212	8.387398987210589e-05	***	0.46771698790088834	0.44642566741692385	21.967495546044173
FW	pc1	aspect_ratio	8.131017555079591	-1.076161490965693	1.45190563276617e-07	***	0.4780521372151033	0.46591381482475686	39.383707389028984
FW	pc1	2nd_movement_of_area	0.5797393667408842	-0.002536266217833344	0.027935456910364788	*	0.10745172584180596	0.08669478923347586	5.176665895808731
FW	pc2	color_saturation	89.00827847328868	1.8099183162177543	0.4277410912570092		0.014688615681910044	-0.008225602558045535	0.641026262737503
HW	pc2	color_saturation	76.59437790687232	0.634924036734856	0.8349150770481424		0.0017707665937103378	-0.03815840274254125	0.0443476942582581
FW	pc2	color_brightness	130.44343032510287	3.3411799771826836	0.040364240977179756	*	0.09413602513965114	0.0730694210731314	4.468495484246432
HW	pc2	color_brightness	132.22458034200852	-0.46499759122498063	0.8472558741689891		0.0015129359358108108	-0.03842654662675676	0.03788070948192141
FW	pc2	color_richness	14.377777777777778	0.5833333333333333	0.12519187221058		0.05381198750488081	0.03180761512127339	2.4455133991901166
HW	pc2	color_richness	14.74074074074074	0.5277777777777779	0.2762885886698709		0.0472128574750057	0.009101371774005926	1.238809157045465
FW	pc2	color_evenness	0.7029524678325575	0.009476416094558265	0.15598107630056318		0.04624994832235174	0.024069714562406433	2.0851875964388333
HW	pc2	color_evenness	0.7116688252989005	0.004948388550468345	0.37656187028351906		0.03140214039616662	-0.007341773987986716	0.810505105003289
FW	pc2	rgb_red	152.3706689592691	5.320856890221649	0.003540147758298156	**	0.18133768128989813	0.1622990227152446	9.524708927304149
HW	pc2	rgb_red	150.39483936904003	1.2414017578072896	0.6330024006976082		0.009261345395570886	-0.030368200788606282	0.23369799271809036
FW	pc2	rgb_green	125.37687319030536	2.6126083163708445	0.108471914541994		0.05881171845321964	0.036923618882364284	2.686926668203262
HW	pc2	rgb_green	128.03103318268992	-1.4192686995536317	0.5635431281132613		0.01352120068155327	-0.025937951291184598	0.342663235411012
FW	pc2	rgb_blue	98.99385483305254	1.896780088182402	0.29017513482271573		0.02597899359612288	0.0033273422844048058	1.1468918198773341
HW	pc2	rgb_blue	106.14783138929471	-0.03365040440033661	0.9896512517470762		6.865338406103483e-06	-0.03999286004805765	0.0001716346384790972
FW	pc2	distinctive_from_wing_base	0.15123648045957422	0.01073930079928051	0.00010753933757351228	***	0.297270569511925	0.28092802461685346	18.189980288906792
HW	pc2	distinctive_from_wing_base	0.1630629989127007	0.007948975718081777	0.025194113407675082	*	0.18486089864124522	0.15225533458689502	5.669612043303434
FW	pc2	perimeter_over_area	0.09149702829948188	-0.008228596998309844	0.005043462710902673	**	0.16888240278081645	0.14955408656641683	8.737564147206921
