	0	1	2	3	4
0	-0.01	0.01	-0.08	0.01	0.01
1	0.06	0.04	-0.05	0.02	-0.01
2	-0.03	0.02	-0.02	0.01	0.0
3	0.09	0.08	0.03	-0.01	-0.03
4	-0.07	0.04	0.03	-0.04	-0.03
5	0.01	0.04	0.07	0.02	0.0
6	0.0	-0.0	0.0	-0.0	0.0
7	-0.04	0.02	-0.02	0.01	-0.03
8	0.05	-0.03	-0.04	-0.03	-0.01
9	-0.04	0.02	-0.07	-0.03	0.03
10	0.0	0.0	-0.0	0.0	0.0
11	0.0	0.0	-0.0	0.0	0.0
12	0.07	0.04	0.02	-0.01	0.01
13	-0.18	-0.02	0.03	0.11	0.02
14	0.04	0.04	0.01	0.05	0.01
15	0.05	-0.02	-0.07	0.02	0.04
16	-0.0	-0.0	0.0	-0.0	0.0
17	0.0	0.0	-0.0	0.0	0.0
18	0.01	-0.08	-0.01	-0.01	-0.02
19	0.04	0.01	-0.01	-0.01	0.03
20	0.03	0.01	-0.02	-0.0	0.02
21	-0.17	0.02	-0.04	-0.04	0.05
22	-0.02	-0.01	0.0	-0.05	0.0
23	-0.08	0.03	-0.02	0.0	0.0
24	-0.02	-0.03	0.01	-0.07	0.05
25	-0.13	0.09	-0.04	0.0	-0.04
26	-0.02	-0.04	-0.01	0.01	-0.06
27	0.02	0.01	0.01	0.0	0.02
28	0.04	0.02	-0.03	0.01	0.05
29	-0.1	0.09	0.06	-0.01	0.08
30	-0.05	-0.02	0.02	-0.01	0.01
31	0.02	0.02	0.1	-0.04	-0.02
32	-0.06	-0.09	0.09	-0.08	0.02
33	0.06	-0.02	-0.01	-0.03	0.02
34	-0.29	-0.05	0.02	-0.02	-0.01
35	0.06	-0.04	-0.01	0.04	0.01
36	-0.02	0.02	0.02	0.05	0.01
37	0.01	-0.03	0.0	-0.02	0.03
38	-0.11	0.06	0.02	0.07	-0.01
39	0.05	-0.01	0.03	0.02	-0.01
40	-0.07	-0.04	-0.02	0.01	-0.03
41	0.1	0.05	-0.01	-0.05	-0.0
42	-0.02	-0.01	0.02	0.02	-0.0
43	-0.01	0.01	0.06	-0.02	-0.02
44	0.04	0.06	0.06	0.0	0.06
45	0.03	0.05	0.0	-0.01	0.01
46	-0.0	-0.0	0.0	-0.0	-0.0
47	0.0	-0.0	0.0	-0.0	0.0
48	0.0	0.0	-0.0	0.0	0.0
49	0.0	-0.0	-0.0	-0.0	0.0
50	0.04	-0.0	0.03	0.05	-0.01
51	0.0	0.0	-0.0	0.0	0.0
52	0.01	-0.01	-0.04	-0.02	-0.0
53	0.1	-0.13	0.08	0.08	0.05
54	0.01	0.03	0.03	-0.03	0.07
55	-0.01	-0.01	-0.01	-0.0	-0.02
56	0.01	0.04	0.08	-0.03	-0.09
57	0.04	-0.05	-0.04	0.0	-0.03
58	0.08	0.05	0.03	0.01	-0.01
